Name,volume,group_games,college_life_and_alumni,sports,art_and_culture,comedy,theater_and_performing_arts,outdoor_recreation,seasonal_and_holidays,educational_events,local_and_neighborhood_pride,classical_music,pop_rock,alternative_rock,electronic_music,hip_hop_and_rnb,jazz_and_blues,country_and_folk,festivals_fairs_and_attractions,movies_and_cinema
music,62113,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
learning,23045,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
concerts,22578,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
outdoors_recreation,21587,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
community,20859,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
performing_arts,20741,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
schools_alumni,17490,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business,17076,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
sports,16021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
family,13029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concert,12260,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0
singles_social,12145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
community,11215,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
holiday,10609,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
support,10517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
local,9238,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
food,8434,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
health,7046,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
rock,6744,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
music,6489,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
arts,6485,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
festivals_parades,6233,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
running,6144,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
art,6094,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
entertainment,5806,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
