id,import_string,title,description,example,category
1,local_and_neighborhood_pride,Neighborhood ,"Events that deal with specific neighborhood or local topics, issues, or interest groups, focused on community and local/city/neighborhood celebration ","street festival, block parties, local fairs ",Event
2,pop_rock,Pop,Events relating to popular rock music and pop music in general,"Katy Perry concert, Maroon 5 concert",Event
3,alternative_rock,Indie and Alternative,"Events relating to indie or alternative rock, including Indie pop, Metal, Punk Rock, etc"," Radiohead concert, Metallica concert",Event
4,electronic_music,Electronic and Dance,Events relating to electronic or dance music and the associated lifestyle and/or its subculture.,"EDM or Drum and Bass shows, Raves, events related to the “Candy Kid” subculture ",Event
5,hip_hop_and_rnb,Hip Hop,"events relating to hip hop music, and the associated lifestyle, as well as RnB singers and music","Kanye West show, rap-battle open mic, Usher in concert ",Event
6,jazz_and_blues,Jazz and Blues,Events relating to jazz and blues music,"the elephant room (Austin Based Jazz Club), Jazz concert, bb king in concert",Event
7,country_and_folk,Country and Folk,"Events relating to country and folk music, and the related sub cultures.","Tim McGraw concert, line dancing event, Bluegrass festival",Event
8,festivals_fairs_and_attractions,"Festivals, Fairs, and Attractions","Large attractions that are not necessarily part of a single interest group, but are in and of themselves a spectacle or experience ","parades, county fairs, circus, monster truck rally",Event
9,movies_and_cinema,Cinema,"Events relating to Movies, Film, and cinema as both an art and fandom. Note that this covers events beyond just the normal movie theatre attendance, and has many items treating film as an artistic medium. ","Film festivals, director retrospectives, private or limited screenings",Event
10,classical_music,Classical Music,"events relating to classical music, and traditional music mediums","Symphonies, opera, ballet",Event
11,educational_events,Educational ,Events meant to be educational,"Seminars, Museum tours, workshops",Event
12,seasonal_and_holidays,Seasonal and Holidays,Events centered around the season or specific holidays,"Christmas events, fall festivals, spring fairs",Event
13,outdoor_recreation,Outdoor Recration,events centered around outdoor lifestyles and interest,"hiking events, marathons, kayaking, rock climbing",Event
14,theater_and_performing_arts,"Theater and Performing Arts","Events relating to the Theatre, Dramtic arts, and other preformance art mediums","Plays, Ballet, Dance, Musical Theatre",Event
15,comedy,Comedy,"vents relating to comedy as a performance medium"," stand up comedy, sketch comedy",Event
16,art_and_culture,Art and Culture,"events relating to art and high culture, including literature, performance art, conceptual art, museums etc","ex: art shows, painting, literature, museum events",Event
17,museums_and_art_galleries,Museums and Art Galleries,locations related to the curations of items for review,Art galleries,"Non-food and drink location"
18,sports,Sporting Events,"events relating to sports, both professional, minor league, recreational and fitness","pro sports games, rec leagues, fitness events",Event
19,college_life_and_alumni,College Life and Alumni,Events relating to the communities that exist around universities,"NCAA events, Alumni organizations, events around college campuses",Event
20,group_games,Group Games,Locations with activities good for groups of people to hang out and do,"Bowling, mini-golf, pool and billiards, top golf",Non-food and drink location
